 ,Compartment,Mean intensity,Area,X_Coordinate,Y_Coordinate
1,Lamp1,2249.33333333,0.0955940360031,9.81787415736,20.1712687233
2,Lamp1,8703.1,0.0796616966693,53.6323689196,21.5457711053
3,Lamp1,8894.875,0.0637293573354,52.8157002965,22.0567468285
4,Lamp1,7256.66666667,0.191188072006,53.0685849339,22.6778017468
5,Lamp1,5407.04347826,0.183221902339,50.5659324931,23.0875266005
6,Lamp1,8646.6344086,0.740853779024,51.9603551995,23.4357358735
7,Lamp1,8977.99665552,4.76376946082,49.9060841859,24.9405048258
8,Lamp1,11380.3076923,0.10356020567,48.6671335416,23.8958818215
9,Lamp1,3367.9,0.0796616966693,45.6888161923,24.8392216181
10,Lamp1,3733.22727273,0.175255732672,45.2677024165,25.1856870946
11,Lamp1,12180.8928571,0.223052750674,47.1257959553,25.3033393056
12,Lamp1,7155.0,0.135424884338,43.6370379994,25.7601067129
13,Lamp1,8902.65384615,0.20712041134,50.4830969784,26.017366517
14,Lamp1,7775.375,0.0637293573354,46.2778886417,26.329753422
15,Lamp1,5073.88888889,0.143391054005,45.4101472389,26.4785090911
16,Lamp1,8516.50612245,1.9517115684,42.0042900614,27.5772973943
17,Lamp1,7930.10526316,0.151357223672,43.7271203798,27.0508269546
18,Lamp1,9617.11111111,0.0716955270023,46.5158977122,26.9892368881
19,Lamp1,6964.4,0.0398308483346,47.2239746969,26.9813032525
20,Lamp1,4119.2,0.278815938342,49.682268382,27.4683718146
21,Lamp1,11455.247619,0.836447815027,38.9778104371,27.9528902795
22,Lamp1,6770.67123288,0.581530385686,48.3490566147,28.0506323606
23,Lamp1,8502.58333333,0.191188072006,45.3072579012,27.9511902147
24,Lamp1,11165.8131868,0.72492143969,46.4387409256,28.471344653
25,Lamp1,9865.14285714,0.0557631876685,40.0556515134,27.8789374611
26,Lamp1,16110.7777778,0.788650797026,44.7903319512,28.6688236242
27,Lamp1,7842.1,0.0796616966693,50.9458415366,28.1862241718
28,Lamp1,10537.2,0.278815938342,38.0028232805,28.4348586472
29,Lamp1,9382.28571429,0.223052750674,49.6695178961,28.4909607852
30,Lamp1,11705.8709677,0.246951259675,43.2691852709,28.5567697448
31,Lamp1,14001.1636364,0.438139331681,36.4032168653,29.0179035942
32,Lamp1,9156.60784314,0.406274653013,33.647657306,29.3407431703
33,Lamp1,11117.0758621,1.1550946017,48.5806263987,29.5105599868
34,Lamp1,10388.1648352,0.72492143969,38.1009039415,29.4992299794
35,Lamp1,19769.3333333,0.167289563005,43.566285303,29.7235077574
36,Lamp1,10695.2371968,2.95544894643,41.7144175589,31.0805123027
37,Lamp1,11346.6958175,2.0951026224,29.5759641117,30.610353342
38,Lamp1,10205.2444444,0.716955270023,39.7157802277,30.4602024993
39,Lamp1,9669.26923077,0.41424082268,35.0525570003,30.193395857
40,Lamp1,7812.08695652,0.183221902339,19.4475400552,30.1307841482
41,Lamp1,4986.2,0.0398308483346,22.8577961064,30.0516202617
42,Lamp1,6177.45454545,0.175255732672,44.983714321,30.1879345475
43,Lamp1,7454.15384615,0.10356020567,36.5355365933,30.3564549558
44,Lamp1,3992.29411765,0.135424884338,22.2582232568,30.4537855881
45,Lamp1,20327.3928571,0.446105501348,31.8586828785,30.8513944909
46,Lamp1,9295.28571429,0.0557631876685,47.1449216842,30.5310385322
47,Lamp1,6461.05263158,0.151357223672,43.1540195917,30.6585433914
48,Lamp1,8634.66666667,0.0477970180016,44.3291893772,30.7329212259
49,Lamp1,8822.26666667,0.119492545004,34.6154441882,30.8846520084
50,Lamp1,11570.5294118,0.135424884338,35.8247402742,31.1573123994
51,Lamp1,24444.0,0.175255732672,24.9909524006,31.2833172014
52,Lamp1,7594.67692308,0.51780102835,20.5674165127,31.6980022358
53,Lamp1,15501.6065574,0.485936349682,23.282700824,31.622772761
54,Lamp1,24667.8,0.199154241673,33.4646703324,31.6974529841
55,Lamp1,7721.90612245,1.9517115684,39.4501855821,32.5346863194
56,Lamp1,8512.33333333,0.191188072006,43.4998765222,31.7890864762
57,Lamp1,12587.625,0.254917429342,40.9561545814,31.9833985689
58,Lamp1,11780.0,0.10356020567,18.8221692325,32.052269583
59,Lamp1,14757.925,0.318646786677,21.8536953403,32.1870078909
60,Lamp1,11151.5040323,1.9756100774,25.3889937795,32.841652799
61,Lamp1,6150.14285714,0.111526375337,27.3242913237,32.0674720854
62,Lamp1,17072.7076923,0.51780102835,34.1613961152,32.4999097194
63,Lamp1,5132.22222222,0.0716955270023,16.0606537352,32.1659341711
64,Lamp1,4965.28571429,0.0557631876685,26.8206471299,32.1503502439
65,Lamp1,12312.5555556,0.215086581007,37.0385087529,32.301467114
66,Lamp1,14778.2,0.0796616966693,16.6636100471,32.3097313179
67,Lamp1,4594.0,0.0398308483346,23.7324794404,32.2829552974
68,Lamp1,23197.0178571,0.446105501348,30.1373672795,32.6524006269
69,Lamp1,7640.125,0.0637293573354,42.7746926356,32.2651046171
70,Lamp1,10287.4,0.0796616966693,46.5188728256,32.4168353996
71,Lamp1,21170.9756098,0.326612956344,31.6882228762,32.7853866401
72,Lamp1,8020.25949367,1.25865480737,43.7629763432,33.3141145314
73,Lamp1,8591.27272727,0.175255732672,20.4836556283,32.991302747
74,Lamp1,21452.4390244,0.653225912688,32.4120461927,33.4025412573
75,Lamp1,5289.375,0.0637293573354,21.4542863689,33.0572285548
76,Lamp1,8243.2,0.0398308483346,35.6567338715,33.06838523
77,Lamp1,14530.6315789,0.151357223672,19.0415085631,33.2327993906
78,Lamp1,39939.6296296,0.860346324028,30.3321073399,34.1807470664
79,Lamp1,8166.57142857,0.167289563005,40.2639094501,33.7824124415
80,Lamp1,10914.047619,0.167289563005,16.8922687612,33.8886664908
81,Lamp1,9319.85714286,0.0557631876685,29.0519821656,33.7569114696
82,Lamp1,9544.82758621,0.693056761022,27.9081023657,34.4174452631
83,Lamp1,26379.1,0.0796616966693,29.3822197509,34.0233966253
84,Lamp1,4616.7,0.0796616966693,36.0405234977,34.0769486662
85,Lamp1,9993.0,0.0637293573354,18.4419840706,34.1505827224
86,Lamp1,6375.11111111,0.0716955270023,22.0802998095,34.169177181
87,Lamp1,37777.7272727,0.0876278663362,33.6201335298,34.1799957751
88,Lamp1,5038.72727273,0.175255732672,25.3763648158,34.4193571699
89,Lamp1,12276.2451613,1.23475629837,19.160977802,34.9743772219
90,Lamp1,7408.71428571,0.0557631876685,24.6785654956,34.5856930543
91,Lamp1,33690.9375,0.127458714671,32.0419711136,34.6749464558
92,Lamp1,11841.968254,0.501868689016,15.7064735708,34.9242892915
93,Lamp1,19935.0,0.0955940360031,21.6365120635,34.7493242903
94,Lamp1,15102.9807692,0.41424082268,20.5094018018,35.2636756229
95,Lamp1,15001.2333333,0.955940360031,34.3015697265,35.2424493332
96,Lamp1,12533.479272,15.7570836012,20.0825116755,38.3595145787
97,Lamp1,10619.1,0.238985090008,38.5366436243,35.2431931115
98,Lamp1,6888.84615385,0.31068061701,23.0765813673,35.418724801
99,Lamp1,35083.2142857,0.111526375337,30.6011662048,35.2805945369
100,Lamp1,33776.6842105,0.151357223672,33.0824778724,35.3138129081
101,Lamp1,8043.82677165,1.0117035477,26.4699585684,36.0755923538
102,Lamp1,8944.2,0.0796616966693,15.2891076651,35.7727632934
103,Lamp1,8939.28571429,0.167289563005,27.4029193202,36.4302633506
104,Lamp1,8714.64285714,0.446105501348,15.6735348155,36.6974922846
105,Lamp1,4915.23076923,0.10356020567,35.3546454359,36.6041930559
106,Lamp1,21697.0408163,0.390342313679,29.150343057,36.8989954996
107,Lamp1,12403.3333333,0.191188072006,39.2863721964,37.0066915681
108,Lamp1,6475.46153846,0.10356020567,23.4839430456,37.1191165257
109,Lamp1,10448.3425926,0.860346324028,26.8132093464,37.5046098493
110,Lamp1,9571.53846154,0.20712041134,32.1174932225,37.3113546211
111,Lamp1,9405.22699387,1.29848565571,16.4814893028,37.784578767
112,Lamp1,7760.75,0.127458714671,35.1212134629,37.2186683965
113,Lamp1,10062.72,0.398308483346,30.5300184933,37.6613652676
114,Lamp1,11757.16,0.199154241673,29.6196337987,37.5346254376
115,Lamp1,5904.7,0.0796616966693,22.5364838612,37.6649354037
116,Lamp1,6951.16666667,0.0955940360031,38.7359762209,38.1112024109
117,Lamp1,14785.2367601,2.55714046308,25.4951924114,39.3497671357
118,Lamp1,15017.0,0.0398308483346,21.340488282,38.3164852341
119,Lamp1,10118.0625,0.127458714671,30.7310617801,38.36780594
120,Lamp1,13484.6483516,0.72492143969,23.2887625304,38.910069394
121,Lamp1,6783.33333333,0.143391054005,35.9790378211,38.5624279403
122,Lamp1,12649.0603015,1.58526776372,16.953885431,39.4659255215
123,Lamp1,11668.5,0.0637293573354,28.6057151585,38.7359762209
124,Lamp1,5968.21052632,0.151357223672,32.0208321501,38.8557636807
125,Lamp1,12583.9459459,0.294748277676,30.3907831871,39.2920007892
126,Lamp1,6930.41666667,0.191188072006,35.1509645967,39.4909112413
127,Lamp1,15951.4193548,0.246951259675,22.3810101942,39.7163240656
128,Lamp1,6983.77777778,0.0716955270023,34.4171032961,39.7028880697
129,Lamp1,7948.42857143,0.0557631876685,28.5164617571,39.8771447106
130,Lamp1,11490.3225806,0.246951259675,27.8513799593,40.2259321964
131,Lamp1,8117.5,0.0637293573354,30.5804466651,40.0413072168
132,Lamp1,8895.0,0.0398308483346,23.893135563,40.1551053036
133,Lamp1,5228.25,0.0637293573354,29.5763458991,40.554514275
134,Lamp1,8566.625,0.0637293573354,32.633274898,40.9115278807
135,Lamp1,21418.6071429,0.223052750674,16.5724440728,41.2733229187
136,Lamp1,8898.93333333,0.119492545004,23.29216266,41.2499470278
137,Lamp1,15332.2916667,0.191188072006,17.9734037131,41.4284538307
138,Lamp1,12861.8148148,0.215086581007,25.8917506187,41.4152311045
139,Lamp1,15908.8571429,0.278815938342,33.8563652598,41.8432696392
140,Lamp1,11563.7411402,5.17004411383,23.1766604154,43.4617994259
141,Lamp1,12346.8823529,0.135424884338,15.4854651482,42.0829787745
142,Lamp1,9274.9047619,0.167289563005,17.2790335008,42.1297305562
143,Lamp1,8389.44444444,0.143391054005,16.5565059654,42.2168588767
144,Lamp1,3656.0,0.143391054005,14.3102953627,42.3110708004
145,Lamp1,19546.7222222,0.716955270023,19.3679881104,42.4439591981
146,Lamp1,6897.56521739,0.183221902339,22.4705139558,42.2808884907
147,Lamp1,12766.4,0.119492545004,23.8098323883,42.2317344436
148,Lamp1,6857.35714286,0.334579126011,29.5705019263,42.3571142218
149,Lamp1,5489.4,0.199154241673,31.5225163172,42.4685534687
150,Lamp1,16074.4242424,0.525767198017,18.2671961595,42.920067494
151,Lamp1,15643.7213115,0.485936349682,20.7616580262,43.0647661902
