Slice,Count,Total Area,Average Size,%Area,Mean,Median
t:1/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_4_D3D.dv,58,42.086,0.726,0.627,255,255
t:2/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_4_D3D.dv,59,40.954,0.694,0.610,255,255
t:3/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_4_D3D.dv,54,39.795,0.737,0.593,255,255
t:4/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_4_D3D.dv,55,38.586,0.702,0.575,255,255
t:5/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_4_D3D.dv,51,37.741,0.740,0.562,255,255
t:6/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_4_D3D.dv,47,36.922,0.786,0.550,255,255
t:7/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_4_D3D.dv,46,35.750,0.777,0.533,255,255
t:8/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_4_D3D.dv,49,34.957,0.713,0.521,255,255
t:9/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_4_D3D.dv,44,33.011,0.750,0.492,255,255
t:10/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_4_D3D.dv,43,32.269,0.750,0.481,255,255
t:11/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_4_D3D.dv,36,31.334,0.870,0.467,255,255
t:12/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_4_D3D.dv,35,30.464,0.870,0.454,255,255
t:13/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_4_D3D.dv,34,29.395,0.865,0.438,255,255
t:14/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_4_D3D.dv,29,28.902,0.997,0.431,255,255
t:15/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_4_D3D.dv,29,28.576,0.985,0.426,255,255
t:16/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_4_D3D.dv,30,28.160,0.939,0.420,255,255
t:17/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_4_D3D.dv,31,28.006,0.903,0.417,255,255
t:18/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_4_D3D.dv,28,26.925,0.962,0.401,255,255
t:19/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_4_D3D.dv,26,25.805,0.992,0.385,255,255
t:20/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_4_D3D.dv,25,25.850,1.034,0.385,255,255
t:21/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_4_D3D.dv,22,24.653,1.121,0.367,255,255
t:22/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_4_D3D.dv,21,23.770,1.132,0.354,255,255
t:23/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_4_D3D.dv,21,22.496,1.071,0.335,255,255
t:24/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_4_D3D.dv,21,23.251,1.107,0.346,255,255
t:25/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_4_D3D.dv,19,21.862,1.151,0.326,255,255
t:26/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_4_D3D.dv,25,21.408,0.856,0.319,255,255
t:27/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_4_D3D.dv,24,21.210,0.884,0.316,255,255
t:28/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_4_D3D.dv,22,19.936,0.906,0.297,255,255
t:29/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_4_D3D.dv,24,20.320,0.847,0.303,255,255
t:30/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_4_D3D.dv,19,19.392,1.021,0.289,255,255
t:31/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_4_D3D.dv,19,18.227,0.959,0.272,255,255
t:32/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_4_D3D.dv,21,18.861,0.898,0.281,255,255
t:33/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_4_D3D.dv,19,18.304,0.963,0.273,255,255
t:34/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_4_D3D.dv,21,18.195,0.866,0.271,255,255
t:35/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_4_D3D.dv,21,17.914,0.853,0.267,255,255
t:36/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_4_D3D.dv,18,17.574,0.976,0.262,255,255
t:37/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_4_D3D.dv,21,16.973,0.808,0.253,255,255
t:38/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_4_D3D.dv,19,16.518,0.869,0.246,255,255
t:39/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_4_D3D.dv,21,16.141,0.769,0.241,255,255
t:40/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_4_D3D.dv,18,15.776,0.876,0.235,255,255
t:41/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_4_D3D.dv,23,16.000,0.696,0.238,255,255
t:42/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_4_D3D.dv,24,15.917,0.663,0.237,255,255
t:43/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_4_D3D.dv,20,14.509,0.725,0.216,255,255
t:44/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_4_D3D.dv,20,14.163,0.708,0.211,255,255
t:45/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_4_D3D.dv,18,13.779,0.766,0.205,255,255
t:46/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_4_D3D.dv,18,13.267,0.737,0.198,255,255
t:47/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_4_D3D.dv,19,13.542,0.713,0.202,255,255
t:48/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_4_D3D.dv,17,12.608,0.742,0.188,255,255
t:49/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_4_D3D.dv,14,11.968,0.855,0.178,255,255
t:50/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_4_D3D.dv,15,11.642,0.776,0.173,255,255
t:51/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_4_D3D.dv,13,11.635,0.895,0.173,255,255
t:52/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_4_D3D.dv,14,11.770,0.841,0.175,255,255
t:53/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_4_D3D.dv,16,11.834,0.740,0.176,255,255
t:54/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_4_D3D.dv,13,11.693,0.899,0.174,255,255
t:55/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_4_D3D.dv,14,11.354,0.811,0.169,255,255
t:56/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_4_D3D.dv,14,11.258,0.804,0.168,255,255
t:57/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_4_D3D.dv,16,11.219,0.701,0.167,255,255
t:58/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_4_D3D.dv,13,10.182,0.783,0.152,255,255
t:59/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_4_D3D.dv,14,10.848,0.775,0.162,255,255
t:60/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_4_D3D.dv,15,10.867,0.724,0.162,255,255
t:61/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_4_D3D.dv,14,10.829,0.773,0.161,255,255
t:62/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_4_D3D.dv,13,10.726,0.825,0.160,255,255
t:63/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_4_D3D.dv,16,10.131,0.633,0.151,255,255
t:64/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_4_D3D.dv,13,10.176,0.783,0.152,255,255
t:65/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_4_D3D.dv,10,8.954,0.895,0.133,255,255
t:66/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_4_D3D.dv,12,9.299,0.775,0.139,255,255
t:67/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_4_D3D.dv,12,9.338,0.778,0.139,255,255
t:68/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_4_D3D.dv,11,8.128,0.739,0.121,255,255
t:69/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_4_D3D.dv,17,9.914,0.583,0.148,255,255
t:70/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_4_D3D.dv,12,8.550,0.713,0.127,255,255
t:71/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_4_D3D.dv,12,8.256,0.688,0.123,255,255
t:72/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_4_D3D.dv,11,7.834,0.712,0.117,255,255
t:73/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_4_D3D.dv,10,6.970,0.697,0.104,255,255
t:74/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_4_D3D.dv,8,7.258,0.907,0.108,255,255
t:75/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_4_D3D.dv,8,7.418,0.927,0.111,255,255
t:76/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_4_D3D.dv,9,7.226,0.803,0.108,255,255
t:77/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_4_D3D.dv,9,7.098,0.789,0.106,255,255
t:78/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_4_D3D.dv,7,6.464,0.923,0.096,255,255
t:79/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_4_D3D.dv,7,6.259,0.894,0.093,255,255
t:80/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_4_D3D.dv,6,5.510,0.918,0.082,255,255
t:81/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_4_D3D.dv,6,5.267,0.878,0.078,255,255
t:82/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_4_D3D.dv,7,5.242,0.749,0.078,255,255
t:83/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_4_D3D.dv,7,5.286,0.755,0.079,255,255
t:84/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_4_D3D.dv,7,4.858,0.694,0.072,255,255
t:85/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_4_D3D.dv,7,5.267,0.752,0.078,255,255
t:86/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_4_D3D.dv,5,4.538,0.908,0.068,255,255
t:87/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_4_D3D.dv,5,5.178,1.036,0.077,255,255
t:88/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_4_D3D.dv,6,5.619,0.937,0.084,255,255
t:89/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_4_D3D.dv,8,5.920,0.740,0.088,255,255
t:90/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_4_D3D.dv,8,5.242,0.655,0.078,255,255
t:91/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_4_D3D.dv,8,4.781,0.598,0.071,255,255
t:92/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_4_D3D.dv,8,5.107,0.638,0.076,255,255
t:93/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_4_D3D.dv,7,4.890,0.699,0.073,255,255
t:94/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_4_D3D.dv,7,4.659,0.666,0.069,255,255
t:95/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_4_D3D.dv,6,4.371,0.729,0.065,255,255
t:96/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_4_D3D.dv,7,3.930,0.561,0.059,255,255
t:97/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_4_D3D.dv,9,3.936,0.437,0.059,255,255
t:98/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_4_D3D.dv,9,4.019,0.447,0.060,255,255
t:99/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_4_D3D.dv,7,4.070,0.581,0.061,255,255
t:100/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_4_D3D.dv,9,3.571,0.397,0.053,255,255
t:101/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_4_D3D.dv,10,3.648,0.365,0.054,255,255
t:102/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_4_D3D.dv,10,4.333,0.433,0.065,255,255
t:103/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_4_D3D.dv,9,4.013,0.446,0.060,255,255
t:104/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_4_D3D.dv,10,3.091,0.309,0.046,255,255
t:105/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_4_D3D.dv,12,3.494,0.291,0.052,255,255
t:106/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_4_D3D.dv,7,2.925,0.418,0.044,255,255
t:107/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_4_D3D.dv,11,3.821,0.347,0.057,255,255
t:108/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_4_D3D.dv,7,3.200,0.457,0.048,255,255
t:109/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_4_D3D.dv,8,3.021,0.378,0.045,255,255
t:110/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_4_D3D.dv,7,3.085,0.441,0.046,255,255
t:111/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_4_D3D.dv,9,3.430,0.381,0.051,255,255
t:112/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_4_D3D.dv,8,3.290,0.411,0.049,255,255
t:113/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_4_D3D.dv,8,3.411,0.426,0.051,255,255
t:114/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_4_D3D.dv,9,3.245,0.361,0.048,255,255
t:115/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_4_D3D.dv,9,2.816,0.313,0.042,255,255
t:116/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_4_D3D.dv,7,2.438,0.348,0.036,255,255
t:117/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_4_D3D.dv,10,3.085,0.308,0.046,255,255
t:118/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_4_D3D.dv,8,2.874,0.359,0.043,255,255
t:119/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_4_D3D.dv,9,2.803,0.311,0.042,255,255
t:120/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_4_D3D.dv,9,2.944,0.327,0.044,255,255
t:121/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_4_D3D.dv,10,3.546,0.355,0.053,255,255
t:122/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_4_D3D.dv,11,3.309,0.301,0.049,255,255
t:123/181 - RPE-GFP-WDFY2_AfterSAR_03_visit_4_D3D.dv,9,2.669,0.297,0.040,255,255
