Slice,Count,Total Area,Average Size,%Area,Mean,Median
t:1/181 - RPE-GFP-WDFY2_afterWort_01_visit_5_D3D.dv,70,46.976,0.671,0.700,255,255
t:2/181 - RPE-GFP-WDFY2_afterWort_01_visit_5_D3D.dv,69,45.894,0.665,0.684,255,255
t:3/181 - RPE-GFP-WDFY2_afterWort_01_visit_5_D3D.dv,73,44.186,0.605,0.658,255,255
t:4/181 - RPE-GFP-WDFY2_afterWort_01_visit_5_D3D.dv,68,41.734,0.614,0.622,255,255
t:5/181 - RPE-GFP-WDFY2_afterWort_01_visit_5_D3D.dv,63,39.930,0.634,0.595,255,255
t:6/181 - RPE-GFP-WDFY2_afterWort_01_visit_5_D3D.dv,64,38.976,0.609,0.581,255,255
t:7/181 - RPE-GFP-WDFY2_afterWort_01_visit_5_D3D.dv,58,34.355,0.592,0.512,255,255
t:8/181 - RPE-GFP-WDFY2_afterWort_01_visit_5_D3D.dv,47,30.362,0.646,0.452,255,255
t:9/181 - RPE-GFP-WDFY2_afterWort_01_visit_5_D3D.dv,46,29.747,0.647,0.443,255,255
t:10/181 - RPE-GFP-WDFY2_afterWort_01_visit_5_D3D.dv,49,29.990,0.612,0.447,255,255
t:11/181 - RPE-GFP-WDFY2_afterWort_01_visit_5_D3D.dv,44,26.822,0.610,0.400,255,255
t:12/181 - RPE-GFP-WDFY2_afterWort_01_visit_5_D3D.dv,45,26.630,0.592,0.397,255,255
t:13/181 - RPE-GFP-WDFY2_afterWort_01_visit_5_D3D.dv,40,25.114,0.628,0.374,255,255
t:14/181 - RPE-GFP-WDFY2_afterWort_01_visit_5_D3D.dv,36,23.834,0.662,0.355,255,255
t:15/181 - RPE-GFP-WDFY2_afterWort_01_visit_5_D3D.dv,47,25.997,0.553,0.387,255,255
t:16/181 - RPE-GFP-WDFY2_afterWort_01_visit_5_D3D.dv,43,24.781,0.576,0.369,255,255
t:17/181 - RPE-GFP-WDFY2_afterWort_01_visit_5_D3D.dv,41,23.853,0.582,0.355,255,255
t:18/181 - RPE-GFP-WDFY2_afterWort_01_visit_5_D3D.dv,41,21.190,0.517,0.316,255,255
t:19/181 - RPE-GFP-WDFY2_afterWort_01_visit_5_D3D.dv,41,21.472,0.524,0.320,255,255
t:20/181 - RPE-GFP-WDFY2_afterWort_01_visit_5_D3D.dv,38,21.997,0.579,0.328,255,255
t:21/181 - RPE-GFP-WDFY2_afterWort_01_visit_5_D3D.dv,39,20.275,0.520,0.302,255,255
t:22/181 - RPE-GFP-WDFY2_afterWort_01_visit_5_D3D.dv,37,19.738,0.533,0.294,255,255
t:23/181 - RPE-GFP-WDFY2_afterWort_01_visit_5_D3D.dv,38,20.422,0.537,0.304,255,255
t:24/181 - RPE-GFP-WDFY2_afterWort_01_visit_5_D3D.dv,37,20.307,0.549,0.303,255,255
t:25/181 - RPE-GFP-WDFY2_afterWort_01_visit_5_D3D.dv,36,19.469,0.541,0.290,255,255
