Genotype;Mean intensity;Experiment
WT;13250,10393;1
WT;12287,41167;1
WT;27433,73064;1
WT;14833,90545;1
WT;13051,42876;1
WT;24149,26362;1
WT;21852,15297;1
WT;26494,97218;1
WT;35390,97977;1
WT;18475,00143;1
KO;9401,17341;1
KO;13567,4757;1
KO;12516,36378;1
KO;10738,14082;1
KO;18741,63276;1
KO;14425,78832;1
KO;19404,36709;1
KO;16024,86911;1
KO;8025,143585;1
KO;18114,32638;1
WT;12758,24848;2
WT;21881,61144;2
WT;13474,07195;2
WT;20192,58831;2
WT;6769,131368;2
WT;13996,29595;2
WT;21186,64081;2
WT;21115,61555;2
WT;9612,738103;2
WT;11401,3049;2
WT;16108,76518;2
WT;12922,79383;2
WT;27935,07607;2
KO;9342,272026;2
KO;27689,81786;2
KO;12947,92553;2
KO;12773,13919;2
KO;7020,187584;2
KO;13363,31141;2
KO;15716,1152;2
KO;9043,479652;2
KO;12456,54661;2
KO;7216,804195;2
WT;11538,08859;3
WT;16334,01539;3
WT;15580,66033;3
WT;12009,83629;3
WT;14944,16981;3
WT;17110,24753;3
WT;12329,68677;3
WT;18792,89444;3
WT;13803,13465;3
WT;12131,25084;3
WT;15751,16393;3
WT;12892,00256;3
WT;6828,807228;3
WT;13004,60649;3
WT;10590,90646;3
KO;13902,58485;3
KO;7745,751328;3
KO;10453,80836;3
KO;9974,954401;3
KO;12706,26755;3
KO;11300,69323;3
KO;9790,998467;3
KO;11847,69804;3
KO;10843,72075;3
KO;9710,450284;3
KO;12467,96317;3
KO;12024,23567;3
KO;12536,28615;3
KO;16795,04902;3
KO;9021,730736;3
WT;15499,78952;4
WT;20057,52972;4
WT;13826,16051;4
WT;11228,40352;4
WT;21079,76925;4
WT;11103,65343;4
WT;29333,08786;4
WT;18955,29679;4
WT;23734,22169;4
WT;26535,1789;4
KO;8249,825095;4
KO;16099,24969;4
KO;14510,78217;4
KO;16407,00432;4
KO;10154,10408;4
KO;12210,1718;4
KO;18457,88256;4
KO;15441,92701;4
KO;15274,9184;4
KO;13454,64802;4
