events;genotype;experiment
0.0331364083920321;KO;1
0.0799554971105444;KO;1
0.0165452921007685;KO;1
0.0670573877124043;KO;1
0.143017926986239;KO;1
0.0824547263485989;KO;1
0.0594772796791626;KO;1
0.0637192091403468;KO;1
0.0533154742084055;KO;1
0.0328568148684794;KO;1
0.042563541286635;WT;1
0.0202683940743323;WT;1
0.0418287697481589;WT;1
0.0547119936066884;WT;1
0.044632250852476;WT;1
0.030725546702831;WT;1
0.0391194009468318;WT;1
0.0042365495603672;WT;1
0.00697295680743947;WT;1
0.0285034433640282;WT;1
0.0869530319853384;KO;2
0.0479294478527607;KO;2
0.0759015703333291;KO;2
0.0433849266881509;KO;2
0.0969986273224558;KO;2
0.0760179353283546;KO;2
0.0982857662715741;KO;2
0.0702574055696558;KO;2
0.0780068783712164;KO;2
0.0431212454942115;KO;2
0.0335064683962596;WT;2
0.061888418646931;WT;2
0.0278830675702445;WT;2
0.0363982698689056;WT;2
0.0350272239368265;WT;2
0.0513356651572007;WT;2
0.0266788887900782;WT;2
0.0290436538389165;WT;2
0.057953022609342;WT;2
0.0395457678772267;WT;2
0.0466787305252446;KO;3
0.094327616281246;KO;3
0.0723260264402523;KO;3
0.0504516355672819;KO;3
0.0570834664700768;KO;3
0.0574664142966794;KO;3
0.0573392418907223;KO;3
0.113698067546299;KO;3
0.0667168896586041;KO;3
0.0742960449738726;KO;3
0.0413347537930486;WT;3
0.0389596504866332;WT;3
0.0234388231593719;WT;3
0.0441370808936061;WT;3
0.0374745447299822;WT;3
0.0403790969080379;WT;3
0.0551763915669874;WT;3
0.0388430684544343;WT;3
0.0455797932014396;WT;3
0.0724415519567627;WT;3
