events;genotype;experiment
0,113633;KO siSCR;1
0,046612;KO siSCR;1
0,082598;KO siSCR;1
0,056902;KO siSCR;1
0,078298;KO siSCR;1
0,106923;KO siSCR;1
0,048731;KO siSCR;1
0,149154;KO siSCR;1
0,083096;KO siSCR;1
0,077466;KO siSCR;1
0,042634;KO siVamp3;1
0,025481;KO siVamp3;1
0,074480;KO siVamp3;1
0,053759;KO siVamp3;1
0,015362;KO siVamp3;1
0,017597;KO siVamp3;1
0,029959;KO siVamp3;1
0,063150;KO siVamp3;1
0,035707;KO siVamp3;1
0,034204;KO siVamp3;1
0,04244;KO siSCR;2
0,08142;KO siSCR;2
0,13405;KO siSCR;2
0,18485;KO siSCR;2
0,06786;KO siSCR;2
0,08776;KO siSCR;2
0,10193;KO siSCR;2
0,05284;KO siSCR;2
0,08922;KO siSCR;2
0,13882;KO siSCR;2
0,02094;KO siVamp3;2
0,06532;KO siVamp3;2
0,09340;KO siVamp3;2
0,12882;KO siVamp3;2
0,03334;KO siVamp3;2
0,04547;KO siVamp3;2
0,03063;KO siVamp3;2
0,03864;KO siVamp3;2
0,07319;KO siVamp3;2
0,09385;KO siVamp3;2
0,127607049;KO siSCR;3
0,063424765;KO siSCR;3
0,134822704;KO siSCR;3
0,077607414;KO siSCR;3
0,08970971;KO siSCR;3
0,111068231;KO siSCR;3
0,076172112;KO siSCR;3
0,122183639;KO siSCR;3
0,120530488;KO siSCR;3
0,082641936;KO siSCR;3
0,087482941;KO siVamp3;3
0,074629814;KO siVamp3;3
0,070388932;KO siVamp3;3
0,075450843;KO siVamp3;3
0,044640558;KO siVamp3;3
0,057624733;KO siVamp3;3
0,132415254;KO siVamp3;3
0,025655426;KO siVamp3;3
0,063008341;KO siVamp3;3
0,012827565;KO siVamp3;3
