Genotype;Experiment;Bilde; cells in image;degradation;degradation_per_cell
WT;1;1;4;14,247;3,56175
WT;1;2;4;0;0
WT;1;3;5;0;0
WT;1;4;4;0;0
WT;1;5;6;11,416;1,902666667
WT;1;6;4;8,579;2,14475
WT;1;7;7;0,872;0,124571429
WT;1;8;5;16,344;3,2688
WT;1;9;7;0;0
WT;1;10;9;3,788;0,420888889
WT;1;11;8;0;0
WT;1;12;5;13,44;2,688
WT;1;13;9;7,844;0,871555556
WT;1;14;9;6,49;0,721111111
WT;1;15;10;75,879;7,5879
WT;1;16;3;3,321;1,107
WT;1;17;5;0;0
WT;1;18;6;1,612;0,268666667
WT;1;19;6;0;0
WT;1;20;7;43,887;6,269571429
WT;1;21;6;19,921;3,320166667
WT;1;22;5;0;0
WT;1;23;6;16,349;2,724833333
WT;1;24;9;19,972;2,219111111
WT;1;25;7;0;0
WT;1;26;6;26,239;4,373166667
WT;1;27;7;49,971;7,138714286
WT;1;28;7;41,187;5,883857143
WT;1;29;5;97,264;19,4528
WT;1;30;7;4,819;0,688428571
WT;2;1;11;0;0
WT;2;2;9;0;0
WT;2;3;8;12,567;1,570875
WT;2;4;9;0;0
WT;2;5;6;0;0
WT;2;6;11;0;0
WT;2;7;11;6,386;0,580545455
WT;2;8;8;0;0
WT;2;9;5;0;0
WT;2;10;7;0;0
WT;2;11;5;0;0
WT;2;12;4;0;0
WT;2;13;4;0;0
WT;2;14;5;0;0
WT;2;15;7;6,5;0,928571429
WT;2;16;6;6,147;1,0245
WT;2;17;7;0;0
WT;2;18;5;0;0
WT;2;19;7;0;0
WT;2;20;5;0;0
WT;2;21;9;0;0
WT;2;22;6;0;0
WT;2;23;5;0;0
WT;2;24;5;0;0
WT;2;25;14;0;0
WT;2;26;9;0;0
WT;2;27;8;3,76;0,47
WT;2;28;7;11,433;1,633285714
WT;2;29;10;0;0
WT;2;30;5;30,921;6,1842
WT;3;1;3;62,458;20,81933333
WT;3;2;5;1,407;0,2814
WT;3;3;4;12,151;3,03775
WT;3;4;7;0;0
WT;3;5;6;20,684;3,447333333
WT;3;6;8;4,403;0,550375
WT;3;7;6;46,08;7,68
WT;3;8;4;6,483;1,62075
WT;3;9;4;0;0
WT;3;10;6;0;0
WT;3;11;4;0;0
WT;3;12;8;12,504;1,563
WT;3;13;5;3,395;0,679
WT;3;14;2;12,122;6,061
WT;3;15;8;0;0
WT;3;16;3;58,1334;19,3778
WT;3;17;3;10,06;3,353333333
WT;3;18;9;22,411;2,490111111
WT;3;19;7;0;0
WT;3;20;3;20,474;6,824666667
WT;3;21;3;76,546;25,51533333
WT;3;22;6;223,069;37,17816667
WT;3;23;6;4,7;0,783333333
WT;3;24;11;0;0
WT;3;25;7;0;0
WT;3;26;4;11,057;2,76425
WT;3;27;7;0;0
WT;3;28;7;9,25;1,321428571
WT;3;29;5;0;0
WT;3;30;3;6,842;2,280666667
WT;3;31;5;44,986;8,9972
WT;3;32;4;0;0
WT;3;33;4;75,947;18,98675
