Treatment;Experiment;Image;Cells;Degradation;degradation_per_cell
siControl;1;1;7;73,384;10,48342857
siControl;1;2;6;39,911;6,651833333
siControl;1;3;7;25,772;3,681714286
siControl;1;4;6;153,980;25,66333333
siControl;1;5;9;99,571;11,06344444
siControl;1;6;5;44,496;8,8992
siControl;1;7;7;77,873;11,12471429
siControl;1;8;3;1,487;0,495666667
siControl;1;9;2;36,806;18,403
siControl;1;10;3;50,803;16,93433333
siControl;1;11;5;31,206;6,2412
siControl;1;12;8;30,887;3,860875
siControl;1;13;6;2,586;0,431
siControl;1;14;6;4,352;0,725333333
siControl;1;15;4;11,228;2,807
siControl;1;1;4;128,898;32,2245
siControl;1;2;5;35,034;7,0068
siControl;1;3;5;166,188;33,2376
siControl;1;4;5;5,902;1,1804
siControl;1;5;5;0,262;0,0524
siControl;1;6;5;39,238;7,8476
siControl;1;7;5;64,486;12,8972
siControl;1;8;7;59,946;8,563714286
siControl;1;9;6;26,478;4,413
siControl;1;10;4;16,782;4,1955
siControl;1;11;4;76,563;19,14075
siControl;1;12;8;32,431;4,053875
siControl;1;13;7;79,707;11,38671429
siControl;1;14;6;26,261;4,376833333
siControl;1;15;5;40,178;8,0356
siControl;2;1;5;139,391;27,8782
siControl;2;2;7;150,875;21,55357143
siControl;2;3;10;41,090;4,109
siControl;2;4;11;25,344;2,304
siControl;2;5;4;211,670;52,9175
siControl;2;6;8;89,335;11,166875
siControl;2;7;10;46,433;4,6433
siControl;2;8;7;82,590;11,79857143
siControl;2;9;5;116,359;23,2718
siControl;2;10;3;58,670;19,55666667
siControl;2;11;7;208,349;29,76414286
siControl;2;12;4;77,030;19,2575
siControl;2;1;8;198,511;24,813875
siControl;2;2;8;62,429;7,803625
siControl;2;3;7;62,179;8,882714286
siControl;2;4;4;76,956;19,239
siControl;2;5;7;150,323;21,47471429
siControl;2;6;6;42,041;7,006833333
siControl;2;7;10;55,895;5,5895
siControl;2;8;6;132,885;22,1475
siControl;2;9;8;50,814;6,35175
siControl;2;10;10;10,317;1,0317
siControl;2;11;15;18,349;1,223266667
siControl;2;12;9;204,213;22,69033333
siControl;3;1;4;96,746;24,1865
siControl;3;2;8;314,477;39,309625
siControl;3;3;9;33,462;3,718
siControl;3;4;8;0,701;0,087625
siControl;3;5;12;86,173;7,181083333
siControl;3;6;11;52,603;4,782090909
siControl;3;8;8;96,387;12,048375
siControl;3;9;14;45,117;3,222642857
