Genotype;Experiment;Bilde; cells in image;degradation;degradation_per_cell
SCR;1;1;4;23 321;5830,25
SCR;1;2;6;18 821;3136,833333
SCR;1;3;5;2 914;582,8
SCR;1;4;3;38 235;12745
SCR;1;5;4;38 165;9541,25
SCR;1;6;5;1;0,1424
SCR;1;7;2;113 040;56520
SCR;1;8;3;19 757;6585,666667
SCR;1;9;3;198 659;66219,66667
SCR;1;10;3;22 786;7595,333333
SCR;1;11;4;21 272;5318
SCR;1;12;4;9 988;2497
SCR;1;13;6;34 174;5695,666667
SCR;1;14;5;38 489;7697,8
SCR;1;15;6;9 097;1516,166667
SCR;1;16;6;0;0
SCR;1;17;7;40 123;5731,857143
SCR;1;18;5;1 709;341,8
SCR;1;19;4;40 835;10208,75
SCR;1;20;4;14 038;3509,5
SCR;1;21;7;11 298;1614
SCR;1;22;3;10 477;3492,333333
SCR;1;23;4;24 983;6245,75
SCR;1;1;5;39 002;7800,4
SCR;1;2;5;41 864;8372,8
SCR;1;3;7;14 835;2119,285714
SCR;1;4;5;31 454;6290,8
SCR;1;5;6;20 101;3350,166667
SCR;1;6;8;124 697;15587,125
SCR;1;7;5;303 744;60748,8
SCR;1;8;7;40 506;5786,571429
SCR;1;9;6;109 408;18234,66667
SCR;1;10;3;27 310;9103,333333
SCR;1;11;3;134 182;44727,33333
SCR;1;12;7;54 993;7856,142857
SCR;1;13;5;25 481;5096,2
SCR;1;14;3;13 725;4575
SCR;1;15;6;4 269;711,5
SCR;2;2;6;57 653;9608,833333
SCR;2;3;4;37 920;9480
SCR;2;4;9;37 975;4219,444444
SCR;2;5;5;78 213;15642,6
SCR;2;6;7;16 421;2345,857143
SCR;2;7;9;5 952;661,3333333
SCR;2;8;11;69 858;6350,727273
SCR;2;9;12;81 804;6817
SCR;2;10;11;44 556;4050,545455
SCR;2;11;3;30 911;10303,66667
SCR;2;12;9;138 765;15418,33333
SCR;2;13;5;45 891;9178,2
SCR;2;14;5;44 287;8857,4
SCR;2;15;9;24 176;2686,222222
SCR;2;16;9;33 681;3742,333333
SCR;2;17;2;371 161;185580,5
SCR;2;18;6;293 248;48874,66667
SCR;2;19;9;61 155;6795
SCR;2;20;6;119 112;19852
SCR;3;1;2;47 456;23728
SCR;3;2;5;84 574;16914,8
SCR;3;3;4;27 514;6878,5
SCR;3;4;4;81 217;20304,25
SCR;3;5;5;93 467;18693,4
SCR;3;6;5;27 270;5454
SCR;3;7;4;18 622;4655,5
SCR;3;8;5;43 645;8729
SCR;3;9;5;80 654;16130,8
SCR;3;10;3;36 710;12236,66667
SCR;3;11;4;107 535;26883,75
SCR;3;12;5;96 231;19246,2
SCR;3;13;3;46 589;15529,66667
SCR;3;14;4;205 306;51326,5
SCR;3;15;3;16 255;5418,333333
SCR;3;16;5;22 712;4542,4
SCR;3;17;3;156 151;52050,33333
SCR;3;18;7;85 038;12148,28571
SCR;3;19;4;39 774;9943,5
SCR;3;20;6;103 759;17293,16667
siVamp3;1;1;5;6 805;1361
siVamp3;1;2;5;23 304;4660,8
siVamp3;1;3;4;0;0
siVamp3;1;4;4;14 711;3677,75
siVamp3;1;5;6;0;0
siVamp3;1;6;5;14 273;2854,6
siVamp3;1;7;6;3 941;656,8333333
siVamp3;1;8;8;14 233;1779,125
siVamp3;1;9;6;20 654;3442,333333
siVamp3;1;10;5;19 194;3838,8
siVamp3;1;11;6;2 192;365,3333333
siVamp3;1;12;4;55 332;13833
siVamp3;1;13;7;0;0,047714286
siVamp3;1;14;6;3 652;608,6666667
siVamp3;1;15;7;104 217;14888,14286
siVamp3;1;16;6;11 363;1893,833333
siVamp3;1;17;7;4 165;595
siVamp3;1;18;4;1 514;378,5
siVamp3;1;19;7;18 826;2689,428571
siVamp3;1;20;6;13 251;2208,5
siVamp3;1;21;5;41 522;8304,4
siVamp3;1;1;6;1 918;319,6666667
siVamp3;1;2;8;10 795;1349,375
siVamp3;1;3;8;0;0
siVamp3;1;4;6;13 047;2174,5
siVamp3;1;5;9;32 496;3610,666667
siVamp3;1;6;4;5 046;1261,5
siVamp3;1;7;6;23 499;3916,5
siVamp3;1;8;6;24 440;4073,333333
siVamp3;1;9;3;20 131;6710,333333
siVamp3;1;10;9;7 916;879,5555556
siVamp3;1;11;3;15 717;5239
siVamp3;1;12;7;5 779;825,5714286
siVamp3;1;13;6;5 719;953,1666667
siVamp3;1;14;9;5 385;598,3333333
siVamp3;1;15;4;5 156;1289
siVamp3;2;1;3;91 808;30602,66667
siVamp3;2;2;6;22 627;3771,166667
siVamp3;2;3;5;39 306;7861,2
siVamp3;2;4;7;5 689;812,7142857
siVamp3;2;5;7;16 724;2389,142857
siVamp3;2;6;5;1 783;356,6
siVamp3;2;7;9;16 679;1853,222222
siVamp3;2;8;5;36 929;7385,8
siVamp3;2;9;6;84 121;14020,16667
siVamp3;2;10;10;123 885;12388,5
siVamp3;2;11;5;1 405;281
siVamp3;2;12;7;24 729;3532,714286
siVamp3;2;13;6;20 196;3366
siVamp3;2;14;6;18 821;3136,833333
siVamp3;2;15;6;12 753;2125,5
siVamp3;2;16;4;31 913;7978,25
siVamp3;2;17;8;11 184;1398
siVamp3;2;18;4;5 306;1326,5
siVamp3;2;19;9;15 568;1729,777778
siVamp3;2;20;5;57 070;11414
siVamp3;3;1;4;80 255;20063,75
siVamp3;3;2;6;93 830;15638,33333
siVamp3;3;3;7;1 654;236,2857143
siVamp3;3;4;6;32 645;5440,833333
siVamp3;3;5;6;56 044;9340,666667
siVamp3;3;6;5;13 082;2616,4
siVamp3;3;7;5;17 660;3532
siVamp3;3;8;8;19 757;2469,625
siVamp3;3;9;4;57 190;14297,5
siVamp3;3;10;5;10 287;2057,4
siVamp3;3;11;5;68 244;13648,8
siVamp3;3;12;4;15 588;3897
siVamp3;3;13;5;13 122;2624,4
siVamp3;3;14;5;73 894;14778,8
siVamp3;3;15;5;24 415;4883
siVamp3;3;16;7;13 665;1952,142857
siVamp3;3;17;7;26 712;3816
