Genotype;Invasion;Experiment
WT;22,49525;1
WT;24,8131;1
WT;20,50365;1
WT;11,28589;1
WT;31,55926;1
WT;22,95337;1
WT;40,59466;1
WT;37,02851;1
WT;13,09659;1
WT;28,47385;1
WT;22,83759;1
WT;34,71064;1
WT;28,78804;1
WT;44,05811;1
WT;21,78114;1
KO;60,79375;1
KO;65,43292;1
KO;61,78762;1
KO;59,39643;1
KO;61,26958;1
KO;56,39869;1
KO;55,2502;1
KO;60,72672;1
KO;64,92901;1
KO;52,55095;1
KO;59,22892;1
KO;55,92611;1
KO;61,06355;1
KO;59,53902;1
KO;72,1042;1
WT;17,55875;2
WT;8,709947;2
WT;9,052134;2
WT;22,19961;2
WT;17,86041;2
WT;14,53127;2
WT;14,49121;2
WT;10,79993;2
WT;11,25398;2
WT;16,23765;2
WT;11,98896;2
WT;10,08304;2
WT;14,72079;2
WT;26,14467;2
WT;21,0304;2
KO;40,93329;2
KO;60,23068;2
KO;49,57152;2
KO;42,38194;2
KO;50,81139;2
KO;45,13351;2
KO;36,10269;2
KO;53,90268;2
KO;49,91622;2
KO;42,81807;2
KO;45,1591;2
KO;38,69059;2
KO;47,92499;2
KO;54,45415;2
KO;39,50267;2
WT;5,528034;3
WT;42,001;3
WT;34,69306;3
WT;35,42391;3
WT;33,58132;3
WT;20,0424;3
WT;25,77349;3
WT;39,51032;3
WT;46,12912;3
WT;50,83718;3
WT;35,98672;3
WT;38,84749;3
WT;35,74755;3
WT;39,00649;3
WT;44,4095;3
KO;59,22304;3
KO;55,47565;3
KO;39,46166;3
KO;68,2684;3
KO;55,405;3
KO;45,16604;3
KO;52,51363;3
KO;48,65205;3
KO;60,04115;3
KO;53,45819;3
KO;55,49768;3
KO;52,7531;3
KO;71,59537;3
KO;53,14951;3
KO;58,95972;3
