Genotype;Invasion;Experiment
WT;11,42639;1
WT;9,418124;1
WT;17,69098;1
WT;8,659413;1
WT;10,46681;1
WT;11,55272;1
WT;33,61102;1
WT;13,05904;1
WT;13,718;1
WT;7,626005;1
WT;11,64455;1
WT;14,64397;1
WT;17,70886;1
WT;13,83207;1
WT;6,953914;1
KO;19,14924;1
KO;44,38111;1
KO;73,86163;1
KO;34,80675;1
KO;37,69658;1
KO;33,65924;1
KO;30,9295;1
KO;23,05861;1
KO;26,11183;1
KO;23,51968;1
KO;20,36713;1
KO;32,48006;1
KO;28,11358;1
KO;31,81579;1
KO;40,02473;1
WT;1,21863663;2
WT;11,74336616;2
WT;5,688871;2
WT;3,738176;2
WT;14,04344;2
WT;12,05673;2
WT;8,025249;2
WT;25,97677;2
WT;27,98564;2
WT;14,53246;2
WT;9,199973;2
WT;18,05042;2
WT;6,770722;2
WT;6,731555;2
WT;7,446769;2
KO;7,59964811;2
KO;6,169164671;2
KO;39,25645;2
KO;3,641935;2
KO;11,72489;2
KO;19,0373;2
KO;23,8068;2
KO;39,54365;2
KO;19,72815;2
KO;23,83908;2
KO;12,54321;2
KO;27,71553;2
KO;32,51635;2
KO;35,21623;2
KO;37,25157;2
WT;44,0614879;3
WT;35,69753815;3
WT;34,96837;3
WT;36,49328;3
WT;27,37661;3
WT;16,12358;3
WT;18,1471;3
WT;7,594211;3
WT;10,45546;3
WT;15,93164;3
WT;17,18792;3
WT;17,64099;3
WT;17,75675;3
WT;11,84746;3
WT;12,55303;3
KO;30,6900338;3
KO;32,54090794;3
KO;55,11265;3
KO;35,16161;3
KO;31,11169;3
KO;34,61343;3
KO;38,85849;3
KO;39,14682;3
KO;34,37688;3
KO;43,13032;3
KO;11,64118;3
KO;13,30215;3
KO;29,07421;3
KO;23,93097;3
KO;30,93135;3
