Treatment;Invasion;Experiment
MDA SCR;1,926926;1
MDA SCR;20,52246;1
MDA SCR;11,57407;1
MDA SCR;12,27837;1
MDA SCR;4,437932;1
MDA SCR;13,17251;1
MDA SCR;24,35422;1
MDA SCR;20,82385;1
MDA SCR;1,493539;1
MDA SCR;0,028263;1
MDA SCR;14,01093;1
MDA SCR;3,635395;1
MDA SCR;11,76394;1
MDA SCR;10,68076;1
MDA SCR;3,501141;1
MDA KD;50,02994;1
MDA KD;45,26328;1
MDA KD;45,71961;1
MDA KD;41,92729;1
MDA KD;49,2553;1
MDA KD;31,99527;1
MDA KD;46,4451;1
MDA KD;43,31712;1
MDA KD;42,87351;1
MDA KD;45,15399;1
MDA KD;40,22942;1
MDA KD;36,21489;1
MDA KD;33,319;1
MDA KD;39,79198;1
MDA KD;32,85868;1
Cherry SCR;4,592138;1
Cherry SCR;0,000883;1
Cherry SCR;0,585287;1
Cherry SCR;0,002455;1
Cherry SCR;0,358051;1
Cherry SCR;11,89355;1
Cherry SCR;13,34283;1
Cherry SCR;23,2462;1
Cherry SCR;15,93149;1
Cherry SCR;19,64839;1
Cherry SCR;15,1685;1
Cherry SCR;10,87083;1
Cherry SCR;16,00636;1
Cherry SCR;20,91316;1
Cherry SCR;10,13355;1
Cherry KD;19,09165;1
Cherry KD;24,54476;1
Cherry KD;25,67143;1
Cherry KD;29,72832;1
Cherry KD;21,37194;1
Cherry KD;26,59012;1
Cherry KD;49,94934;1
Cherry KD;25,09546;1
Cherry KD;32,75604;1
Cherry KD;2,613428;1
Cherry KD;20,4592;1
Cherry KD;13,21339;1
Cherry KD;31,01327;1
Cherry KD;28,30878;1
Cherry KD;16,74415;1
MDA SCR;19,86832;2
MDA SCR;20,91387;2
MDA SCR;17,81807;2
MDA SCR;16,60667;2
MDA SCR;38,29978;2
MDA SCR;35,51022;2
MDA SCR;39,10446;2
MDA SCR;27,13837;2
MDA SCR;34,87137;2
MDA SCR;30,84884;2
MDA SCR;19,60489;2
MDA SCR;10,47399;2
MDA SCR;13,00459;2
MDA SCR;40,92294;2
MDA SCR;4,605747;2
MDA KD;51,84924;2
MDA KD;60,91706;2
MDA KD;52,10605;2
MDA KD;46,69507;2
MDA KD;45,31194;2
MDA KD;52,13314;2
MDA KD;60,19326;2
MDA KD;67,90181;2
MDA KD;26,00334;2
MDA KD;40,15528;2
MDA KD;49,74742;2
MDA KD;59,8971;2
MDA KD;29,78547;2
MDA KD;33,19718;2
MDA KD;47,22772;2
Cherry SCR;25,29513;2
Cherry SCR;23,19092;2
Cherry SCR;27,00402;2
Cherry SCR;2,401228;2
Cherry SCR;35,99811;2
Cherry SCR;13,45592;2
Cherry SCR;13,91845;2
Cherry SCR;0,001643;2
Cherry SCR;21,03586;2
Cherry SCR;29,64052;2
Cherry SCR;23,16235;2
Cherry SCR;35,48753;2
Cherry SCR;26,148;2
Cherry SCR;27,02819;2
Cherry SCR;33,29919;2
Cherry KD;24,43968;2
Cherry KD;18,29138;2
Cherry KD;0,255947;2
Cherry KD;17,0599;2
Cherry KD;8,539892;2
Cherry KD;15,22964;2
Cherry KD;20,35306;2
Cherry KD;25,92464;2
Cherry KD;31,77574;2
Cherry KD;20,12498;2
Cherry KD;1,415144;2
Cherry KD;6,757706;2
Cherry KD;2,3037;2
Cherry KD;0,986096;2
Cherry KD;5,625131;2
MDA SCR;19,53586;3
MDA SCR;21,08298;3
MDA SCR;19,02203;3
MDA SCR;9,821989;3
MDA SCR;16,26427;3
MDA SCR;11,14185;3
MDA SCR;11,00927;3
MDA SCR;18,90216;3
MDA SCR;28,96531;3
MDA SCR;26,54309;3
MDA SCR;13,60039;3
MDA SCR;0;3
MDA SCR;16,73792;3
MDA SCR;15,74933;3
MDA SCR;31,28868;3
MDA KD;41,18441;3
MDA KD;58,91576;3
MDA KD;58,00693;3
MDA KD;63,10598;3
MDA KD;56,18157;3
MDA KD;51,22618;3
MDA KD;57,76102;3
MDA KD;64,9472;3
MDA KD;49,31844;3
MDA KD;54,46602;3
MDA KD;62,2232;3
MDA KD;56,03754;3
MDA KD;40,13498;3
MDA KD;38,49952;3
MDA KD;31,02199;3
Cherry SCR;35,56588;3
Cherry SCR;24,05611;3
Cherry SCR;35,65946;3
Cherry SCR;30,43406;3
Cherry SCR;31,32992;3
Cherry SCR;40,63007;3
Cherry SCR;28,21593;3
Cherry SCR;35,89214;3
Cherry SCR;21,99866;3
Cherry SCR;17,58229;3
Cherry SCR;25,15639;3
Cherry SCR;9,064386;3
Cherry SCR;22,063;3
Cherry SCR;34,56179;3
Cherry SCR;0;3
Cherry KD;26,72885;3
Cherry KD;42,2108;3
Cherry KD;30,28435;3
Cherry KD;0,172745;3
Cherry KD;44,07252;3
Cherry KD;41,95591;3
Cherry KD;33,82744;3
Cherry KD;31,79029;3
Cherry KD;51,57983;3
Cherry KD;40,93596;3
Cherry KD;0,972622;3
Cherry KD;35,20499;3
Cherry KD;5,274893;3
Cherry KD;3,632984;3
Cherry KD;37,62448;3
