Treatment;endosome size;tubule length;Experiment
Control;1,367;0,978;1
Control;0,779;0,406;1
Control;0,951;0,898;1
Control;0,516;0,672;1
Control;0,916;0,474;1
Control;0,44;0,514;1
Control;0,936;0,564;1
Control;0,672;0,729;1
Control;0,951;0,794;1
Control;0,855;0,661;1
Control;0,978;1,314;1
Control;0,717;0,666;1
Control;0,631;0,722;1
Control;0,661;0,486;1
Control;0,671;0,599;1
Control;1,202;0,809;1
Control;0,434;0,613;1
Control;0,674;0,661;1
Control;0,635;0,394;1
Control;0,557;0,573;1
Control;0,618;0,599;1
Control;0,486;0,529;1
Control;0,97;0,671;1
Control;0,738;0,733;1
Control;0,92;0,635;1
Control;0,573;0,396;1
Control;0,613;0,406;1
Control;0,798;0,749;1
Control;0,46;0,631;1
Control;0,655;0,71;1
Control;0,626;0,44;1
Control;0,538;0,564;1
Control;0,599;0,416;1
Control;0,65;0,71;1
Control;1,031;0,453;1
Control;0,65;0,434;1
Control;0,65;0,671;1
Control;0,717;0,352;1
Control;0,881;0,538;1
Control;0,573;0,753;1
Control;0,892;0,46;1
Control;0,881;0,476;1
Control;0,886;0,729;1
Control;0,53;0,53;1
Control;0,827;0,841;1
Control;0,641;0,892;1
Control;0,769;0,753;1
Control;0,474;0,53;1
Control;0,738;0,76;1
Control;0,794;0,641;1
Control;0,77;1,014;1
Control;0,892;1,234;1
Control;0,75;0,617;1
Control;0,754;0,908;1
Control;0,53;0,99;1
Control;0,376;0,436;1
Control;0,841;0,379;1
Control;0,812;0,881;1
Control;0,784;1,203;1
Control;0,561;0,545;1
Control;1,218;1,059;1
Control;0,561;0,591;1
Control;0,53;0,847;1
Control;0,733;0,599;1
Control;0,574;0,46;1
Control;0,729;0,352;1
Control;0,443;0,623;1
Control;0,618;0,564;1
Control;0,841;0,557;1
Control;0,613;2,246;1
Control;0,812;0,672;1
Control;0,573;0,53;1
Control;0,671;0,788;1
Control;0,662;0,434;1
Control;0,53;0,468;1
Control;0,978;0,836;1
Control;0,729;0,532;1
Control;0,618;0,474;1
Control;0,588;0,926;1
Control;0,705;0,635;1
Control;0,613;0,374;1
Control;0,827;0,623;1
Control;0,492;0,502;1
Control;0,671;1,49;1
Control;0,529;0,754;1
Control;0,623;0,545;1
Control;0,492;2,176;1
Control;1,051;0,936;1
Control;0,847;0,545;1
Control;0,536;0,626;1
Control;0,949;0,468;1
Control;0,819;0,779;1
Control;0,662;0,557;1
Control;1,014;0,975;1
Control;0,631;1,028;1
Control;0,769;0,661;1
Control;0,809;0,891;1
Control;0,758;0,374;1
Control;0,502;0,809;2
Control;0,529;0,53;2
Control;0,672;0,552;2
Control;0,705;0,827;2
Control;0,794;0,44;2
Control;0,599;1,031;2
Control;0,536;0,44;2
Control;0,671;0,564;2
