Experiment;Date;Image;Treatment;endosome size;tubule length
1;14.11.2018;RPE_GFP-WDFY2_before_01_visit_1;control;0,22;1,576
1;14.11.2018;RPE_GFP-WDFY2_before_01_visit_1;control;0,536;0,388
1;14.11.2018;RPE_GFP-WDFY2_before_01_visit_1;control;0,533;1,502
1;14.11.2018;RPE_GFP-WDFY2_before_01_visit_1;control;0,528;0,272
1;14.11.2018;RPE_GFP-WDFY2_before_01_visit_1;control;0,337;0,695
1;14.11.2018;RPE_GFP-WDFY2_before_01_visit_1;control;0,533;0,453
1;14.11.2018;RPE_GFP-WDFY2_before_01_visit_1;control;0,272;0,528
1;14.11.2018;RPE_GFP-WDFY2_before_01_visit_1;control;1,094;1,483
1;14.11.2018;RPE_GFP-WDFY2_before_01_visit_1;control;0,388;0,853
1;14.11.2018;RPE_GFP-WDFY2_before_01_visit_1;control;0,608;0,43
1;14.11.2018;RPE_GFP-WDFY2_before_01_visit_1;control;0,324;1,08
1;14.11.2018;RPE_GFP-WDFY2_before_01_visit_1;control;0,921;0,44
1;14.11.2018;RPE_GFP-WDFY2_before_01_visit_1;control;1,088;0,695
1;14.11.2018;RPE_GFP-WDFY2_before_01_visit_1;control;0,725;0,483
1;14.11.2018;RPE_GFP-WDFY2_before_01_visit_1;control;0,793;0,868
1;14.11.2018;RPE_GFP-WDFY2_before_01_visit_1;control;0,793;1,25
1;14.11.2018;RPE_GFP-WDFY2_before_01_visit_1;control;0,506;0,716
1;14.11.2018;RPE_GFP-WDFY2_before_01_visit_1;control;0,931;0,624
1;14.11.2018;RPE_GFP-WDFY2_before_01_visit_1;control;0,459;0,427
1;14.11.2018;RPE_GFP-WDFY2_before_01_visit_1;control;0,43;0,833
1;14.11.2018;RPE_GFP-WDFY2_before_01_visit_1;control;0,557;1,391
1;14.11.2018;RPE_GFP-WDFY2_before_01_visit_1;control;0,596;1,494
1;14.11.2018;RPE_GFP-WDFY2_before_01_visit_1;control;0,596;1,099
1;14.11.2018;RPE_GFP-WDFY2_before_01_visit_1;control;0,528;0,43
1;14.11.2018;RPE_GFP-WDFY2_before_01_visit_1;control;0,769;0,683
1;14.11.2018;RPE_GFP-WDFY2_before_01_visit_1;control;0,868;1,051
1;14.11.2018;RPE_GFP-WDFY2_before_01_visit_2;control;0,536;0,456
1;14.11.2018;RPE_GFP-WDFY2_before_01_visit_2;control;0,492;0,503
1;14.11.2018;RPE_GFP-WDFY2_before_01_visit_2;control;0,43;0,311
1;14.11.2018;RPE_GFP-WDFY2_before_01_visit_2;control;0,492;0,417
1;14.11.2018;RPE_GFP-WDFY2_before_01_visit_2;control;0,596;0,533
1;14.11.2018;RPE_GFP-WDFY2_before_01_visit_2;control;0,567;0,503
1;14.11.2018;RPE_GFP-WDFY2_before_01_visit_2;control;0,341;0,427
1;14.11.2018;RPE_GFP-WDFY2_before_01_visit_2;control;0,503;1,272
1;14.11.2018;RPE_GFP-WDFY2_before_01_visit_2;control;0,624;0,324
1;14.11.2018;RPE_GFP-WDFY2_before_01_visit_2;control;0,459;1,099
1;14.11.2018;RPE_GFP-WDFY2_before_01_visit_2;control;0,544;1,385
1;14.11.2018;RPE_GFP-WDFY2_before_01_visit_2;control;0,741;0,567
1;14.11.2018;RPE_GFP-WDFY2_before_01_visit_2;control;0,341;0,477
1;14.11.2018;RPE_GFP-WDFY2_before_01_visit_2;control;0,544;0,642
1;14.11.2018;RPE_GFP-WDFY2_before_01_visit_2;control;0,918;0,725
1;14.11.2018;RPE_GFP-WDFY2_before_01_visit_2;control;0,492;0,533
1;14.11.2018;RPE_GFP-WDFY2_before_01_visit_2;control;0,577;0,725
1;14.11.2018;RPE_GFP-WDFY2_before_01_visit_2;control;0,754;0,642
1;14.11.2018;RPE_GFP-WDFY2_before_01_visit_2;control;0,931;1,25
1;14.11.2018;RPE_GFP-WDFY2_before_01_visit_2;control;0,506;0,506
1;14.11.2018;RPE_GFP-WDFY2_before_01_visit_2;control;0,931;0,693
1;14.11.2018;RPE_GFP-WDFY2_before_01_visit_4;control;0,954;0,695
1;14.11.2018;RPE_GFP-WDFY2_before_01_visit_4;control;0,862;1,051
1;14.11.2018;RPE_GFP-WDFY2_before_01_visit_4;control;0,574;0,587
1;14.11.2018;RPE_GFP-WDFY2_before_01_visit_4;control;0,417;0,43
1;14.11.2018;RPE_GFP-WDFY2_before_01_visit_4;control;0,406;0,793
1;14.11.2018;RPE_GFP-WDFY2_before_01_visit_4;control;0,483;0,802
1;14.11.2018;RPE_GFP-WDFY2_before_01_visit_4;control;0,536;1,281
1;14.11.2018;RPE_GFP-WDFY2_before_01_visit_4;control;0,492;0,544
1;14.11.2018;RPE_GFP-WDFY2_before_01_visit_4;control;0,16;4,749
1;14.11.2018;RPE_GFP-WDFY2_before_01_visit_4;control;0,533;0,931
1;14.11.2018;RPE_GFP-WDFY2_before_01_visit_4;control;0,44;0,683
1;14.11.2018;RPE_GFP-WDFY2_before_01_visit_4;control;0,506;0,48
1;14.11.2018;RPE_GFP-WDFY2_before_01_visit_4;control;0,213;1,024
1;14.11.2018;RPE_GFP-WDFY2_before_01_visit_4;control;0,918;1,391
1;14.11.2018;RPE_GFP-WDFY2_before_01_visit_4;control;0,456;0,44
1;14.11.2018;RPE_GFP-WDFY2_before_01_visit_4;control;0,32;0,373
1;14.11.2018;RPE_GFP-WDFY2_before_01_visit_4;control;0,427;0,589
