Image;Experiment;date aquired;tubule number;Endosomes size;Max length;Frames;Lifetime
KO20_Cherry-WDFY2-2xFYVE_01_D3D.dv;1;17.08.2018;1;0,596;1,08;5;5
KO20_Cherry-WDFY2-2xFYVE_01_D3D.dv;1;17.08.2018;2;0,981;0,544;15;15
KO20_Cherry-WDFY2-2xFYVE_01_D3D.dv;1;17.08.2018;3;0,459;0,417;5;5
KO20_Cherry-WDFY2-2xFYVE_01_D3D.dv;1;17.08.2018;4;0,816;0,802;5;5
KO20_Cherry-WDFY2-2xFYVE_01_D3D.dv;1;17.08.2018;5;0,608;0,749;12;12
KO20_Cherry-WDFY2-2xFYVE_01_D3D.dv;1;17.08.2018;6;0,843;0,503;7;7
KO20_Cherry-WDFY2-2xFYVE_02_D3D.dv;1;17.08.2018;7;0,533;0,787;8;8
KO20_Cherry-WDFY2-2xFYVE_02_D3D.dv;1;17.08.2018;8;0,544;1,052;4;4
KO20_Cherry-WDFY2-2xFYVE_02_D3D.dv;1;17.08.2018;9;0,417;0,979;13;13
KO20_Cherry-WDFY2-2xFYVE_02_D3D.dv;1;17.08.2018;10;0,86;0,624;5;5
KO20_Cherry-WDFY2-2xFYVE_02_D3D.dv;1;17.08.2018;11;0,492;0,596;4;4
KO20_Cherry-WDFY2-2xFYVE_02_D3D.dv;1;17.08.2018;12;0,492;0,66;5;5
KO20_Cherry-WDFY2-2xFYVE_02_D3D.dv;1;17.08.2018;13;0,506;0,769;6;6
KO20_Cherry-WDFY2-2xFYVE_02_D3D.dv;1;17.08.2018;14;0,48;0,533;7;7
KO20_Cherry-WDFY2-2xFYVE_02_D3D.dv;1;17.08.2018;15;0,48;0,459;6;6
KO20_Cherry-WDFY2-2xFYVE_02_D3D.dv;1;17.08.2018;16;0,86;0,96;8;8
KO_Cherry-WDFY2-2xFYVE_03_D3D.dv;1;17.08.2018;17;1,456;0,96;11;11
KO_Cherry-WDFY2-2xFYVE_03_D3D.dv;1;17.08.2018;18;1,121;0,644;10;10
KO_Cherry-WDFY2-2xFYVE_03_D3D.dv;1;17.08.2018;19;0,875;0,388;10;10
KO_Cherry-WDFY2-2xFYVE_03_D3D.dv;1;17.08.2018;20;0,973;0,802;11;11
KO_Cherry-WDFY2-2xFYVE_03_D3D.dv;1;17.08.2018;21;1,019;0,725;6;6
KO_Cherry-WDFY2-2xFYVE_03_D3D.dv;1;17.08.2018;22;1,068;0,679;9;9
