Image;Experiment;date aquired;tubule number;Endosomes size;Max length;Frames;Lifetime
RPE_Cherry-WDFY2-2xFYVE_01_D3D.dv;1;17.08.2018;1;0,938;1,628;6;6
RPE_Cherry-WDFY2-2xFYVE_01_D3D.dv;1;17.08.2018;2;0,828;0,833;8;8
RPE_Cherry-WDFY2-2xFYVE_01_D3D.dv;1;17.08.2018;3;0,608;1,002;5;5
RPE_Cherry-WDFY2-2xFYVE_01_D3D.dv;1;17.08.2018;4;0,9891;3,066;10;10
RPE_Cherry-WDFY2-2xFYVE_01_D3D.dv;1;17.08.2018;5;0,758;1,245;8;8
RPE_Cherry-WDFY2-2xFYVE_01_D3D.dv;1;17.08.2018;6;0,66;2,08;8;8
RPE_Cherry-WDFY2-2xFYVE_01_D3D.dv;1;17.08.2018;7;0,769;1,17;15;15
RPE_Cherry-WDFY2-2xFYVE_01_D3D.dv;1;17.08.2018;8;0,675;0,683;10;10
RPE_Cherry-WDFY2-2xFYVE_01_D3D.dv;1;17.08.2018;9;0,812;1,979;13;13
RPE_Cherry-WDFY2-2xFYVE_01_D3D.dv;1;17.08.2018;10;0,802;1,482;5;5
RPE_Cherry-WDFY2-2xFYVE_02_D3D.dv;1;17.08.2018;11;0,754;0,427;5;5
RPE_Cherry-WDFY2-2xFYVE_02_D3D.dv;1;17.08.2018;12;0,725;0,557;12;12
RPE_Cherry-WDFY2-2xFYVE_02_D3D.dv;1;17.08.2018;13;0,492;1,284;10;10
RPE_Cherry-WDFY2-2xFYVE_02_D3D.dv;1;17.08.2018;14;0,675;1,722;4;4
RPE_Cherry-WDFY2-2xFYVE_02_D3D.dv;1;17.08.2018;15;0,793;0,406;10;10
RPE_Cherry-WDFY2-2xFYVE_02_D3D.dv;1;17.08.2018;16;0,693;1,08;8;8
RPE_Cherry-WDFY2-2xFYVE_02_D3D.dv;1;17.08.2018;17;0,492;0,536;15;15
RPE_Cherry-WDFY2-2xFYVE_02_D3D.dv;1;17.08.2018;18;0,764;2,362;12;12
RPE_Cherry-WDFY2-2xFYVE_02_D3D.dv;1;17.08.2018;19;0,758;0,981;7;7
RPE_Cherry-WDFY2-2xFYVE_02_D3D.dv;1;17.08.2018;20;0,814;1,019;7;7
RPE_Cherry-WDFY2-2xFYVE_02_D3D.dv;1;17.08.2018;21;0,814;0,814;4;4
RPE_Cherry-WDFY2-2xFYVE_03_D3D.dv;1;17.08.2018;22;0,683;0,506;17;17
RPE_Cherry-WDFY2-2xFYVE_03_D3D.dv;1;17.08.2018;23;0,716;0,492;12;12
RPE_Cherry-WDFY2-2xFYVE_03_D3D.dv;1;17.08.2018;24;0,716;1,502;3;3
RPE_Cherry-WDFY2-2xFYVE_03_D3D.dv;1;17.08.2018;25;0,843;0,718;7;7
RPE_Cherry-WDFY2-2xFYVE_03_D3D.dv;1;17.08.2018;26;0,764;0,506;10;10
RPE_Cherry-WDFY2-2xFYVE_03_D3D.dv;1;17.08.2018;27;0,701;0,754;23;23
RPE_Cherry-WDFY2-2xFYVE_03_D3D.dv;1;17.08.2018;28;0,533;0,938;6;6
RPE_Cherry-WDFY2-2xFYVE_03_D3D.dv;1;17.08.2018;29;0,503;0,913;14;14
