Treatment;Invasion;Experiment;;;;;;;;
SCR_WT;4,654644;1;;;;;;;;
SCR_WT;14,20889;1;;;;;;;;
SCR_WT;7,626791;1;;;;;;;;
SCR_WT;4,988544;1;;;;;;;;
SCR_WT;4,139412;1;;;;;;;;
SCR_WT;8,767402;1;;;;;;;;
SCR_WT;4,313375;1;;;;;;;;
SCR_WT;5,430089;1;;;;;;;;
SCR_WT;13,09162;1;;;;;;;;
SCR_WT;3,879939;1;;;;;;;;
SCR_WT;3,652835;1;;;;;;;;
SCR_WT;14,06211;1;;;;;;;;
SCR_WT;1,024418;1;;;;;;;;
SCR_WT;3,338519;1;;;;;;;;
SCR_WT;6,739577;1;;;;;;;;
KD_WT;29,74121;1;;;;;;;;
KD_WT;70,64723;1;;;;;;;;
KD_WT;59,85697;1;;;;;;;;
KD_WT;50,64553;1;;;;;;;;
KD_WT;65,82982;1;;;;;;;;
KD_WT;56,55343;1;;;;;;;;
KD_WT;33,60049;1;;;;;;;;
KD_WT;25,76073;1;;;;;;;;
KD_WT;52,7606;1;;;;;;;;
KD_WT;56,98955;1;;;;;;;;
KD_WT;65,56568;1;;;;;;;;
KD_WT;58,49822;1;;;;;;;;
KD_WT;41,5743;1;;;;;;;;
KD_WT;48,60749;1;;;;;;;;
KD_WT;67,30425;1;;;;;;;;
KD_RESCUE;9,275686;1;;;;;;;;
KD_RESCUE;10,17498;1;;;;;;;;
KD_RESCUE;38,35288;1;;;;;;;;
KD_RESCUE;37,69862;1;;;;;;;;
KD_RESCUE;51,05697;1;;;;;;;;
KD_RESCUE;38,69492;1;;;;;;;;
KD_RESCUE;36,73953;1;;;;;;;;
KD_RESCUE;27,63133;1;;;;;;;;
KD_RESCUE;48,56306;1;;;;;;;;
KD_RESCUE;27,0795;1;;;;;;;;
KD_RESCUE;6,782086;1;;;;;;;;
KD_RESCUE;16,70372;1;;;;;;;;
KD_RESCUE;12,67043;1;;;;;;;;
KD_RESCUE;0;1;;;;;;;;
KD_RESCUE;20,24821;1;;;;;;;;
SCR_RESCUE;27,56365;1;;;;;;;;
SCR_RESCUE;20,8424;1;;;;;;;;
SCR_RESCUE;18,34287;1;;;;;;;;
SCR_RESCUE;6,425822;1;;;;;;;;
SCR_RESCUE;21,07385;1;;;;;;;;
SCR_RESCUE;23,92926;1;;;;;;;;
SCR_RESCUE;6,060497;1;;;;;;;;
SCR_RESCUE;16,74652;1;;;;;;;;
SCR_RESCUE;22,7301;1;;;;;;;;
SCR_RESCUE;18,42154;1;;;;;;;;
SCR_RESCUE;43,33297;1;;;;;;;;
SCR_RESCUE;22,6339;1;;;;;;;;
SCR_RESCUE;4,551574;1;;;;;;;;
SCR_RESCUE;65,05556;1;;;;;;;;
SCR_RESCUE;44,955;1;;;;;;;;
SCR_WT;2,910029;2;;;;;;;;
SCR_WT;4,699151;2;;;;;;;;
SCR_WT;7,738324;2;;;;;;;;
SCR_WT;3,487592;2;;;;;;;;
SCR_WT;5,215101;2;;;;;;;;
SCR_WT;11,29707;2;;;;;;;;
SCR_WT;6,606052;2;;;;;;;;
SCR_WT;18,63048;2;;;;;;;;
SCR_WT;13,54281;2;;;;;;;;
SCR_WT;2,016853;2;;;;;;;;
SCR_WT;0,396021;2;;;;;;;;
SCR_WT;2,259125;2;;;;;;;;
SCR_WT;0,530247;2;;;;;;;;
SCR_WT;2,292998;2;;;;;;;;
SCR_WT;2,866954;2;;;;;;;;
KD_WT;50,3012;2;;;;;;;;
KD_WT;41,37483;2;;;;;;;;
KD_WT;66,95053;2;;;;;;;;
KD_WT;64,97673;2;;;;;;;;
KD_WT;60,81949;2;;;;;;;;
KD_WT;42,59836;2;;;;;;;;
KD_WT;46,66517;2;;;;;;;;
